A01nficha;A01uf;localidade;setor_distrito;morador_id;index;idade_calculada;E02_1;E02_2;E02_3;E03;E03_1;E03_1_1;E03_2;E03_2_1;E04;E04_1;E04_1_1;E05;E06;E06_1;E07;E08;E08_1;E09;E10;E11;E12;E13;E14;E15_A;E15_B;E15_1;E16;E16_1;E17;E18;E19;E19_1;E20;E20_1;E21;E22;E22_1;F01;F02;F03_1;F03_2;F04;F05_1;F05_2;F05_3;F05_4;G01;G02;G03;G04;G05;G06;G06_1;G06_2;H01;H02;H03;H04_1;H04_2;H04_3;H04_4;H05_1;H05_2;H05_3;H05_4;H05_5;H05_6;H05_7;H05_8;H05_9;H05_10;H05_11;H06;H07;H08;H09;H10;H11;H12;H13;I01;I02;I03_1;I03_1_1;I03_1_1_r;I03_2;I03_2_1;I03_2_1_r;I04;I05;I05_1;I06;I07;I08;I09_1;I09_2;I09_3;I09_4;I09_5;I09_6;I09_7;I09_8;I09_9;I10;I13;I14;I15;I16;I18;I19;I20;I20_r;I21;I21_r;I22_1;I22_1_r;I22_2;I22_2_r;I23;renda_ind;renda_ind_r;infla_ipcadf;id_genero;orientacao_sx;lgbtqiam;escolaridade;peso_mor
12163;52;5241;43;12163-1;1;52;99999;99999;52;1;1;99999;10;99999;1;1;12163-2;1;12;99999;2;1;12163-2;1;4;3;4;4;4;76;23;76230440;99999;99999;13;13;99999;99999;7652;5241;6;2;99999;1;0;1;0;1;1;1;1;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;6;2;2;2;99999;99999;2;99999;99999;1;2;0;36;1;2;2;1;2;2;2;2;2;99999;2;5;3;99999;99999;99999;1;1;88888;99999;0;0;99999;99999;88888;99999;7;99999;99999;0,989671705;1;2;2;7;151,9940336
5666;52;5241;43;05666-3;3;27;1996-11-11;99999;99999;2;2;99999;8;99999;4;99999;99999;4;1;99999;1;3;99999;2;4;4;4;4;4;76;53;7653;99999;99999;20;20;99999;99999;7652;5241;1;88888;99999;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;2;1;1;18;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;10;1;1;2;99999;99999;2;99999;99999;1;0;6;40;1;3;1;2;2;2;2;2;2;99999;1;6;3;99999;99999;99999;1;1;1412;1421,901283;0;0;99999;99999;88888;99999;14;99999;99999;0,993036589;1;2;2;7;210,7845276
836;52;5241;43;00836-4;4;9;2014-09-07;99999;99999;1;99999;99999;99999;99999;4;99999;99999;4;12;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;99999;99999;9;9;99999;99999;7652;5241;99999;99999;99999;0;0;0;0;1;88888;88888;1;88888;2;99999;99999;99999;1;99999;99999;99999;2;1;99999;1;1;2;41;1;2;2;2;2;2;2;2;2;99999;1;2;4;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0,974884044;99999;99999;99999;2;186,6059741
20783;52;5241;43;20783-1;1;28;1995-06-18;99999;99999;2;2;99999;8;99999;1;1;20783-2;4;4;99999;2;1;20783-2;2;4;4;4;4;4;76;23;76231360;99999;99999;27;27;99999;99999;7652;5241;1;2;99999;1;0;1;0;1;2;1;2;2;1;1;1;41;1;1;2;22;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;2;2;2;1;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;900;923,1867174;0;0;30;900;923,1867174;0,974884044;1;2;2;4;210,7845276
12838;52;5241;43;12838-2;2;32;99999;99999;32;1;1;99999;10;99999;2;99999;99999;2;2;99999;2;1;12838-1;1;4;4;4;4;4;76;21;76210210;99999;99999;22;22;99999;99999;7652;5241;2;2;99999;1;0;0;1;1;2;1;2;2;1;1;1;41;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;5;2;2;2;99999;99999;2;99999;99999;1;5;0;44;1;29;1;2;2;2;2;2;2;99999;1;8;3;99999;99999;99999;1;1;1600;1625,589568;0;0;99999;99999;88888;99999;5;99999;99999;0,984258285;1;2;2;2;202,3018037
7158;52;5241;43;07158-1;1;34;1990-01-15;99999;99999;1;1;99999;10;99999;1;2;99999;4;3;99999;2;1;07158-2;1;4;4;4;4;4;76;53;7653;99999;99999;8;8;7653;765309;7652;5241;1;2;99999;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;10;2;2;2;99999;99999;2;99999;99999;1;16;0;40;1;1;2;1;2;2;2;2;2;99999;2;7;3;99999;99999;99999;1;1;1500;1523,99022;88888;99999;99999;99999;0;0;3;99999;99999;0,984258285;1;2;2;7;202,3018037
14531;52;5241;43;14531-2;2;21;99999;99999;21;1;1;99999;10;99999;2;99999;99999;4;1;99999;2;1;14531-1;2;4;4;4;4;4;76;22;76220770;99999;99999;0;0;7622;76220770;7622;76220770;2;1;7653;1;0;0;1;1;2;1;2;2;2;99999;99999;99999;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;6;1;1;2;99999;99999;2;99999;99999;1;0;4;48;1;2;1;2;2;2;2;2;2;99999;1;6;3;99999;99999;99999;2;2;1000;1025,763019;0;0;99999;99999;88888;99999;10;99999;99999;0,974884044;1;2;2;2;204,6578234
24805;52;5241;43;24805-1;1;48;99999;99999;48;2;2;99999;8;99999;1;1;24805-3;4;12;99999;2;1;24805-2;2;3;4;4;4;4;76;22;76220770;99999;99999;3;3;7621;76210090;7621;76210090;2;88888;99999;1;0;1;0;1;2;1;2;2;2;99999;99999;99999;2;1;3;20;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;88888;99999;99999;2;1;2;99999;99999;2;99999;99999;1;0;3;40;1;1;1;2;2;2;2;2;2;99999;1;7;4;99999;99999;99999;2;2;1412;1426,735747;0;0;800;808,3488653;88888;99999;14;99999;99999;0,989671705;1;2;2;8;171,5223175
4574;52;5241;43;04574-2;2;31;99999;99999;31;1;1;99999;10;99999;2;99999;99999;4;1;99999;2;1;04574-1;1;4;4;4;4;4;76;21;76210890;99999;99999;7;7;7653;765309;7652;5241;6;1;9;1;0;0;1;1;2;1;2;2;1;1;4;41;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;7;2;2;2;99999;99999;2;99999;99999;1;4;0;40;1;3;2;2;1;2;2;2;2;99999;3;6;7;99999;2;2;99999;2;88888;99999;0;0;99999;99999;88888;99999;2;99999;99999;0,984258285;1;2;2;2;202,3018037
3508;52;5241;43;03508-2;2;32;1991-06-23;99999;99999;1;1;99999;10;99999;2;99999;99999;4;3;99999;2;1;03508-1;1;2;4;4;4;4;76;29;76292840;99999;99999;32;32;99999;99999;7652;5241;99999;2;99999;1;0;1;0;1;2;1;2;2;1;1;4;41;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;7;1;1;2;99999;99999;2;99999;99999;1;2;0;40;1;3;2;2;2;2;1;2;2;99999;5;5;3;99999;99999;99999;1;1;1400;1436,068227;0;0;99999;99999;88888;99999;5;99999;99999;0,974884044;1;2;2;7;202,3018037
